"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","view_history","rt","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","win_width_deg","win_height_deg","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","correct_response"
"true","false","[]","[]","[]","preload","0","23","0.0-0.0","454571","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","3708","0.0-1.0","454571","[{""page_index"":0,""viewing_time"":1810},{""page_index"":1,""viewing_time"":871},{""page_index"":2,""viewing_time"":1001}]","3684","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","6126","0.0-2.0","454571","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","3","26989","0.0-3.0","454571","","20861","85.6","53.98","362","4.23","677.8","7.226343462755826","50.09449133793986","30.662054029814772","17.24740539177081","","","","","","","",""
"","","","","","html-keyboard-response","4","27929","0.0-4.0","454571","","939","","","","","","","","","","This is just trial run, press Space bar to continue"," ","","","","","",""
"","","","","","psychophysics","5","28869","0.0-5.0-0.0","454571","","930","","","","","","","","","","","1","key","1","16.654267857142845","768","250","1"
"","","","","","psychophysics","6","29746","0.0-5.0-1.0","454571","","861","","","","","","","","","","","1","key","1","16.66203846153845","768","250","1"
"","","","","","psychophysics","7","30680","0.0-5.0-2.0","454571","","933","","","","","","","","","","","1","key","1","16.660309090909074","768","250","0"
"","","","","","psychophysics","8","31586","0.0-5.0-3.0","454571","","903","","","","","","","","","","","1","key","1","16.662320754716966","768","250","1"
"","","","","","psychophysics","9","32397","0.0-5.0-4.0","454571","","807","","","","","","","","","","","1","key","1","16.65481250000001","768","250","1"
"","","","","","psychophysics","10","33244","0.0-5.0-5.0","454571","","842","","","","","","","","","","","1","key","1","16.66207999999999","768","250","1"
"","","","","","psychophysics","11","34153","0.0-5.0-6.0","454571","","906","","","","","","","","","","","1","key","1","16.666377358490553","768","250","1"
"","","","","","psychophysics","12","35108","0.0-5.0-7.0","454571","","953","","","","","","","","","","","1","key","1","16.66548214285714","768","250","0"
"","","","","","html-keyboard-response","13","35788","0.0-6.0","454571","","679","","","","","","","","","","You have successfully completed the pilot , Press Space bar to continue to main block of experiment"," ","","","","","",""
"","","","","","psychophysics","14","36743","0.0-7.0-0.0","454571","","951","","","","","","","","","","","1","key","1","16.653603448275856","768","250","0"
"","","","","","html-keyboard-response","15","37359","0.0-7.0-1.0","454571","","614","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","1","","","","","",""
"","","","","","psychophysics","16","38262","0.0-7.0-2.0","454571","","900","","","","","","","","","","","1","key","1","16.65585185185194","768","250","1"
