"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","view_history","rt","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","win_width_deg","win_height_deg","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","correct_response"
"true","false","[]","[]","[]","preload","0","10","0.0-0.0","196363","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","3144","0.0-1.0","196363","[{""page_index"":0,""viewing_time"":1466},{""page_index"":1,""viewing_time"":767},{""page_index"":2,""viewing_time"":900}]","3134","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","5354","0.0-2.0","196363","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","3","14211","0.0-3.0","196363","","8855","85.6","53.98","318","3.71","253.36","19.176854534373803","16.58249007573149","86.8385865707493","54.274116606718316","","","","","","","",""
"","","","","","html-keyboard-response","4","15357","0.0-4.0","196363","","1143","","","","","","","","","","This is just trial run, press Space bar to continue"," ","","","","","",""
"","","","","","psychophysics","5","18630","0.0-5.0-0.0","196363","","3266","","","","","","","","","","","1","key","1","16.666999999999987","720","250","0"
"","","","","","psychophysics","6","20500","0.0-5.0-1.0","196363","","1865","","","","","","","","","","","1","key","1","16.66812612612613","720","250","1"
"","","","","","psychophysics","7","21853","0.0-5.0-2.0","196363","","1349","","","","","","","","","","","1","key","1","16.66700000000001","720","250","1"
"","","","","","psychophysics","8","22967","0.0-5.0-3.0","196363","","1108","","","","","","","","","","","1","key","1","16.667000000000012","720","250","1"
"","","","","","psychophysics","9","24048","0.0-5.0-4.0","196363","","1078","","","","","","","","","","","1","key","1","16.666999999999973","720","250","1"
"","","","","","psychophysics","10","25066","0.0-5.0-5.0","196363","","1012","","","","","","","","","","","1","key","1","16.66700000000001","720","250","1"
"","","","","","psychophysics","11","26606","0.0-5.0-6.0","196363","","1537","","","","","","","","","","","1","key","1","16.667","720","250","0"
"","","","","","psychophysics","12","28281","0.0-5.0-7.0","196363","","1668","","","","","","","","","","","1","key","1","16.66700000000001","720","250","1"
"","","","","","html-keyboard-response","13","35644","0.0-6.0","196363","","7362","","","","","","","","","","You have successfully completed the pilot , Press Space bar to continue to main block of experiment"," ","","","","","",""
"","","","","","psychophysics","14","38085","0.0-7.0-0.0","196363","","2437","","","","","","","","","","","1","key","1","16.668787671232852","720","250","1"
"","","","","","html-keyboard-response","15","40920","0.0-7.0-1.0","196363","","2833","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","1","","","","","",""
"","","","","","psychophysics","16","42466","0.0-7.0-2.0","196363","","1537","","","","","","","","","","","1","key","1","16.66700000000003","720","250","1"
"","","","","","html-keyboard-response","17","46566","0.0-7.0-3.0","196363","","4099","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","1","","","","","",""
"","","","","","psychophysics","18","48316","0.0-7.0-4.0","196363","","1747","","","","","","","","","","","1","key","1","16.667866666666704","720","250","1"
