"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","view_history","rt","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","win_width_deg","win_height_deg","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","correct_response"
"true","false","[]","[]","[]","preload","0","67","0.0-0.0","394984","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","5282","0.0-1.0","394984","[{""page_index"":0,""viewing_time"":2077},{""page_index"":1,""viewing_time"":2086},{""page_index"":2,""viewing_time"":1051}]","5214","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","7426","0.0-2.0","394984","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","3","77743","0.0-3.0","394984","","70314","85.6","53.98","336","3.93","652.53","7.505407390008255","44.76772312816859","28.5920281524124","16.083015835731974","","","","","","","",""
"","","","","","html-keyboard-response","4","79380","0.0-4.0","394984","","1634","","","","","","","","","","This is just trial run, press Space bar to continue"," ","","","","","",""
"","","","","","psychophysics","5","81834","0.0-5.0-0.0","394984","","2449","","","","","","","","","","","1","key","1","16.655448979591903","640","250","1"
"","","","","","psychophysics","6","85389","0.0-5.0-1.0","394984","","3547","","","","","","","","","","","0","key","0","16.66659905660372","640","250","0"
"","","","","","psychophysics","7","92311","0.0-5.0-2.0","394984","","6918","","","","","","","","","","","1","key","1","16.66740240963854","640","250","1"
"","","","","","psychophysics","8","94720","0.0-5.0-3.0","394984","","2402","","","","","","","","","","","1","key","1","16.667531468531433","640","250","1"
"","","","","","psychophysics","9","112392","0.0-5.0-4.0","394984","","17665","","","","","","","","","","","0","key","0","16.666415094339616","640","250","1"
"","","","","","psychophysics","10","114152","0.0-5.0-5.0","394984","","1752","","","","","","","","","","","1","key","1","16.667432692307695","640","250","1"
"","","","","","psychophysics","11","116353","0.0-5.0-6.0","394984","","2195","","","","","","","","","","","1","key","1","16.665541984732837","640","250","1"
"","","","","","psychophysics","12","117731","0.0-5.0-7.0","394984","","1372","","","","","","","","","","","0","key","0","16.66996341463421","640","250","0"
"","","","","","html-keyboard-response","13","119298","0.0-6.0","394984","","1565","","","","","","","","","","You have successfully completed the pilot , Press Space bar to continue to main block of experiment"," ","","","","","",""
"","","","","","psychophysics","14","121176","0.0-7.0-0.0","394984","","1872","","","","","","","","","","","1","key","1","16.65563716814159","640","250","1"
"","","","","","html-keyboard-response","15","123158","0.0-7.0-1.0","394984","","1980","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","3","","","","","",""
"","","","","","psychophysics","16","125275","0.0-7.0-2.0","394984","","2108","","","","","","","","","","","1","key","1","16.665259842519667","640","250","1"
"","","","","","html-keyboard-response","17","126920","0.0-7.0-3.0","394984","","1643","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","3","","","","","",""
"","","","","","psychophysics","18","128701","0.0-7.0-4.0","394984","","1773","","","","","","","","","","","0","key","0","16.665635514018675","640","250","0"
"","","","","","html-keyboard-response","19","131776","0.0-7.0-5.0","394984","","3073","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","4","","","","","",""
"","","","","","psychophysics","20","133438","0.0-7.0-6.0","394984","","1652","","","","","","","","","","","0","key","0","16.658525252525433","640","250","0"
"","","","","","html-keyboard-response","21","135644","0.0-7.0-7.0","394984","","2204","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","4","","","","","",""
"","","","","","psychophysics","22","137315","0.0-7.0-8.0","394984","","1665","","","","","","","","","","","1","key","1","16.667810000000173","640","250","1"
"","","","","","html-keyboard-response","23","139403","0.0-7.0-9.0","394984","","2086","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","4","","","","","",""
"","","","","","psychophysics","24","141549","0.0-7.0-10.0","394984","","2140","","","","","","","","","","","1","key","1","16.649844961240436","640","250","1"
"","","","","","html-keyboard-response","25","142622","0.0-7.0-11.0","394984","","1072","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","4","","","","","",""
"","","","","","psychophysics","26","144025","0.0-7.0-12.0","394984","","1395","","","","","","","","","","","0","key","0","16.856674698795086","640","250","0"
"","","","","","html-keyboard-response","27","145601","0.0-7.0-13.0","394984","","1573","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","4","","","","","",""
"","","","","","psychophysics","28","147101","0.0-7.0-14.0","394984","","1493","","","","","","","","","","","1","key","1","16.666288888889053","640","250","1"
"","","","","","html-keyboard-response","29","148655","0.0-7.0-15.0","394984","","1552","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","4","","","","","",""
"","","","","","psychophysics","30","150131","0.0-7.0-16.0","394984","","1471","","","","","","","","","","","1","key","1","16.84095454545472","640","250","1"
