"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","view_history","rt","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","win_width_deg","win_height_deg","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","correct_response"
"true","false","[]","[]","[]","preload","0","37","0.0-0.0","641453","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","15606","0.0-1.0","641453","[{""page_index"":0,""viewing_time"":3384},{""page_index"":1,""viewing_time"":9602},{""page_index"":2,""viewing_time"":2579}]","15567","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","20359","0.0-2.0","641453","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","3","92443","0.0-3.0","641453","","72079","85.6","53.98","384","4.49","526","9.303683342343946","41.273975679320145","37.214733369375786","20.93328752027388","","","","","","","",""
"","","","","","html-keyboard-response","4","94676","0.0-4.0","641453","","2230","","","","","","","","","","This is just trial run, press Space bar to continue"," ","","","","","",""
"","","","","","psychophysics","5","109095","0.0-5.0-0.0","641453","","14217","","","","","","","","","","","0","key","0","17.444787182587675","768","250","0"
"","","","","","psychophysics","6","117299","0.0-5.0-1.0","641453","","8201","","","","","","","","","","","1","key","1","16.660995926680243","768","250","1"
"","","","","","psychophysics","7","119214","0.0-5.0-2.0","641453","","1905","","","","","","","","","","","2","key","2","16.662008771929802","768","250","1"
"","","","","","psychophysics","8","120858","0.0-5.0-3.0","641453","","1637","","","","","","","","","","","2","key","2","16.661612244897995","768","250","1"
"","","","","","psychophysics","9","122805","0.0-5.0-4.0","641453","","1943","","","","","","","","","","","1","key","1","16.661577586206917","768","250","1"
"","","","","","psychophysics","10","128534","0.0-5.0-5.0","641453","","5726","","","","","","","","","","","2","key","2","16.66168804664724","768","250","1"
"","","","","","psychophysics","11","130136","0.0-5.0-6.0","641453","","1594","","","","","","","","","","","1","key","1","16.66089473684199","768","250","0"
"","","","","","psychophysics","12","131644","0.0-5.0-7.0","641453","","1491","","","","","","","","","","","2","key","2","16.664157303370956","768","250","1"
"","","","","","html-keyboard-response","13","135011","0.0-6.0","641453","","3365","","","","","","","","","","You have successfully completed the pilot , Press Space bar to continue to main block of experiment"," ","","","","","",""
"","","","","","psychophysics","14","136812","0.0-7.0-0.0","641453","","1794","","","","","","","","","","","1","key","1","16.655537037036858","768","250","0"
"","","","","","html-keyboard-response","15","144899","0.0-7.0-1.0","641453","","8084","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","",""
"","","","","","psychophysics","16","147120","0.0-7.0-2.0","641453","","2215","","","","","","","","","","","2","key","2","16.634120300752013","768","250","1"
"","","","","","html-keyboard-response","17","151882","0.0-7.0-3.0","641453","","4761","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","",""
"","","","","","psychophysics","18","155486","0.0-7.0-4.0","641453","","3595","","","","","","","","","","","2","key","2","16.64780555555545","768","250","1"
"","","","","","html-keyboard-response","19","157292","0.0-7.0-5.0","641453","","1805","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","3","","","","","",""
"","","","","","psychophysics","20","158927","0.0-7.0-6.0","641453","","1625","","","","","","","","","","","2","key","2","16.649285714285465","768","250","1"
"","","","","","html-keyboard-response","21","160396","0.0-7.0-7.0","641453","","1468","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","",""
"","","","","","psychophysics","22","162327","0.0-7.0-8.0","641453","","1927","","","","","","","","","","","1","key","1","16.661017241379433","768","250","0"
"","","","","","html-keyboard-response","23","164482","0.0-7.0-9.0","641453","","2154","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","4","","","","","",""
"","","","","","psychophysics","24","166465","0.0-7.0-10.0","641453","","1974","","","","","","","","","","","2","key","2","16.660739495798293","768","250","1"
