"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","view_history","rt","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","win_width_deg","win_height_deg","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","correct_response"
"true","false","[]","[]","[]","preload","0","17","0.0-0.0","529378","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","16144","0.0-1.0","529378","[{""page_index"":0,""viewing_time"":8811},{""page_index"":1,""viewing_time"":1029},{""page_index"":2,""viewing_time"":1397},{""page_index"":1,""viewing_time"":3720},{""page_index"":2,""viewing_time"":1169}]","16127","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","18369","0.0-2.0","529378","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","3","57128","0.0-3.0","529378","","38755","85.6","53.98","374","4.37","646.56","7.574507666466885","49.376146472956385","29.771460614188026","18.632478751736723","","","","","","","",""
"","","","","","html-keyboard-response","4","58219","0.0-4.0","529378","","1090","","","","","","","","","","This is just trial run, press Space bar to continue"," ","","","","","",""
"","","","","","psychophysics","5","62528","0.0-5.0-0.0","529378","","4305","","","","","","","","","","","0","key","0","16.666000000000004","735","250","1"
"","","","","","psychophysics","6","69736","0.0-5.0-1.0","529378","","7200","","","","","","","","","","","0","key","0","16.66688631090487","735","250","1"
"","","","","","psychophysics","7","72525","0.0-5.0-2.0","529378","","2786","","","","","","","","","","","0","key","0","16.666000000000054","735","250","1"
"","","","","","psychophysics","8","75379","0.0-5.0-3.0","529378","","2849","","","","","","","","","","","1","key","1","16.666000000000007","735","250","1"
"","","","","","psychophysics","9","79729","0.0-5.0-4.0","529378","","4347","","","","","","","","","","","1","key","1","16.667465384615376","735","250","1"
"","","","","","psychophysics","10","81675","0.0-5.0-5.0","529378","","1940","","","","","","","","","","","0","key","0","16.666000000000075","735","250","0"
"","","","","","psychophysics","11","83862","0.0-5.0-6.0","529378","","2185","","","","","","","","","","","0","key","0","16.666000000000015","735","250","0"
"","","","","","psychophysics","12","85339","0.0-5.0-7.0","529378","","1473","","","","","","","","","","","1","key","1","16.66599999999992","735","250","1"
"","","","","","html-keyboard-response","13","86593","0.0-6.0","529378","","1253","","","","","","","","","","You have successfully completed the pilot , Press Space bar to continue to main block of experiment"," ","","","","","",""
"","","","","","psychophysics","14","90477","0.0-7.0-0.0","529378","","3879","","","","","","","","","","","1","key","1","16.66776824034333","735","250","1"
"","","","","","html-keyboard-response","15","92199","0.0-7.0-1.0","529378","","1720","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","",""
"","","","","","psychophysics","16","94426","0.0-7.0-2.0","529378","","2220","","","","","","","","","","","0","key","0","16.666000000000047","735","250","0"
"","","","","","html-keyboard-response","17","95490","0.0-7.0-3.0","529378","","1064","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","",""
"","","","","","psychophysics","18","96702","0.0-7.0-4.0","529378","","1208","","","","","","","","","","","0","key","0","16.67130555555559","735","250","0"
"","","","","","html-keyboard-response","19","97314","0.0-7.0-5.0","529378","","610","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","",""
"","","","","","psychophysics","20","99441","0.0-7.0-6.0","529378","","2122","","","","","","","","","","","1","key","1","16.666000000000054","735","250","1"
"","","","","","html-keyboard-response","21","100484","0.0-7.0-7.0","529378","","1043","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","",""
"","","","","","psychophysics","22","102496","0.0-7.0-8.0","529378","","2009","","","","","","","","","","","1","key","1","16.665999999999986","735","250","1"
"","","","","","html-keyboard-response","23","103479","0.0-7.0-9.0","529378","","982","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","",""
"","","","","","psychophysics","24","105256","0.0-7.0-10.0","529378","","1771","","","","","","","","","","","1","key","1","16.66600000000002","735","250","1"
