"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","view_history","rt","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","win_width_deg","win_height_deg","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","correct_response"
"true","false","[]","[]","[]","preload","0","25","0.0-0.0","549132","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","4930","0.0-1.0","549132","[{""page_index"":0,""viewing_time"":1494},{""page_index"":1,""viewing_time"":1400},{""page_index"":2,""viewing_time"":2009}]","4903","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","8251","0.0-2.0","549132","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","3","52920","0.0-3.0","549132","","44666","85.6","53.98","384","4.49","520.43","9.402813753728077","40.838839315279394","37.61125501491231","21.156330945888172","","","","","","","",""
"","","","","","html-keyboard-response","4","53842","0.0-4.0","549132","","919","","","","","","","","","","This is just trial run, press Space bar to continue"," ","","","","","",""
"","","","","","psychophysics","5","56284","0.0-5.0-0.0","549132","","2419","","","","","","","","","","","0","key","0","16.663753424657557","768","250","0"
"","","","","","psychophysics","6","58163","0.0-5.0-1.0","549132","","1874","","","","","","","","","","","1","key","1","16.661428571428523","768","250","1"
"","","","","","psychophysics","7","60102","0.0-5.0-2.0","549132","","1931","","","","","","","","","","","0","key","0","16.66341739130433","768","250","0"
"","","","","","psychophysics","8","61248","0.0-5.0-3.0","549132","","1135","","","","","","","","","","","1","key","1","16.66167647058822","768","250","1"
"","","","","","psychophysics","9","62798","0.0-5.0-4.0","549132","","1543","","","","","","","","","","","0","key","0","16.66268478260866","768","250","1"
"","","","","","psychophysics","10","64094","0.0-5.0-5.0","549132","","1284","","","","","","","","","","","1","key","1","16.665311688311586","768","250","1"
"","","","","","psychophysics","11","65520","0.0-5.0-6.0","549132","","1415","","","","","","","","","","","1","key","1","16.661892857142707","768","250","1"
"","","","","","psychophysics","12","67619","0.0-5.0-7.0","549132","","2087","","","","","","","","","","","1","key","1","16.662447999999976","768","250","1"
"","","","","","html-keyboard-response","13","70549","0.0-6.0","549132","","2929","","","","","","","","","","You have successfully completed the pilot , Press Space bar to continue to main block of experiment"," ","","","","","",""
"","","","","","psychophysics","14","72537","0.0-7.0-0.0","549132","","1975","","","","","","","","","","","1","key","1","16.663537815126013","768","250","1"
