"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","view_history","rt","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","win_width_deg","win_height_deg","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","correct_response"
"true","false","[]","[]","[]","preload","0","5","0.0-0.0","808958","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","5271","0.0-1.0","808958","[{""page_index"":0,""viewing_time"":2283},{""page_index"":1,""viewing_time"":1550},{""page_index"":2,""viewing_time"":1433}]","5266","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","7393","0.0-2.0","808958","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","3","31038","0.0-3.0","808958","","23643","85.6","53.98","420","4.91","435.19","11.233707590611946","37.38747840926496","38.5155688820981","24.072230551311314","","","","","","","",""
"","","","","","html-keyboard-response","4","32042","0.0-4.0","808958","","1002","","","","","","","","","","This is just trial run, press Space bar to continue"," ","","","","","",""
"","","","","","psychophysics","5","34192","0.0-5.0-0.0","808958","","2139","","","","","","","","","","","1","key","1","16.671248062015536","720","250","1"
"","","","","","psychophysics","6","35853","0.0-5.0-1.0","808958","","1658","","","","","","","","","","","0","key","0","16.66600000000001","720","250","0"
"","","","","","psychophysics","7","37359","0.0-5.0-2.0","808958","","1500","","","","","","","","","","","1","key","1","16.665999999999972","720","250","1"
"","","","","","psychophysics","8","38803","0.0-5.0-3.0","808958","","1441","","","","","","","","","","","1","key","1","16.665999999999976","720","250","1"
"","","","","","psychophysics","9","40969","0.0-5.0-4.0","808958","","2159","","","","","","","","","","","0","key","0","16.666000000000032","720","250","0"
"","","","","","psychophysics","10","43071","0.0-5.0-5.0","808958","","2099","","","","","","","","","","","1","key","1","16.666","720","250","1"
"","","","","","psychophysics","11","44615","0.0-5.0-6.0","808958","","1537","","","","","","","","","","","1","key","1","16.673439560439515","720","250","1"
"","","","","","psychophysics","12","46206","0.0-5.0-7.0","808958","","1588","","","","","","","","","","","0","key","0","16.666000000000043","720","250","1"
"","","","","","html-keyboard-response","13","48166","0.0-6.0","808958","","1959","","","","","","","","","","You have successfully completed the pilot , Press Space bar to continue to main block of experiment"," ","","","","","",""
"","","","","","psychophysics","14","49737","0.0-7.0-0.0","808958","","1563","","","","","","","","","","","1","key","1","16.66600000000007","720","250","1"
"","","","","","html-keyboard-response","15","52347","0.0-7.0-1.0","808958","","2609","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","",""
"","","","","","psychophysics","16","54021","0.0-7.0-2.0","808958","","1670","","","","","","","","","","","1","key","1","16.672779999999985","720","250","1"
"","","","","","html-keyboard-response","17","54999","0.0-7.0-3.0","808958","","977","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","",""
"","","","","","psychophysics","18","57320","0.0-7.0-4.0","808958","","2315","","","","","","","","","","","1","key","1","16.666000000000004","720","250","1"
"","","","","","html-keyboard-response","19","58401","0.0-7.0-5.0","808958","","1080","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","",""
"","","","","","psychophysics","20","59647","0.0-7.0-6.0","808958","","1242","","","","","","","","","","","1","key","1","16.665999999999997","720","250","1"
"","","","","","html-keyboard-response","21","60632","0.0-7.0-7.0","808958","","984","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","",""
"","","","","","psychophysics","22","62622","0.0-7.0-8.0","808958","","1984","","","","","","","","","","","2","key","2","16.666000000000007","720","250","1"
"","","","","","html-keyboard-response","23","63585","0.0-7.0-9.0","808958","","962","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","",""
"","","","","","psychophysics","24","65514","0.0-7.0-10.0","808958","","1924","","","","","","","","","","","1","key","1","16.67188695652174","720","250","1"
"","","","","","html-keyboard-response","25","66983","0.0-7.0-11.0","808958","","1468","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","",""
"","","","","","psychophysics","26","69536","0.0-7.0-12.0","808958","","2547","","","","","","","","","","","1","key","1","16.666000000000007","720","250","1"
"","","","","","html-keyboard-response","27","70970","0.0-7.0-13.0","808958","","1433","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","",""
"","","","","","psychophysics","28","72618","0.0-7.0-14.0","808958","","1644","","","","","","","","","","","0","key","0","16.665999999999936","720","250","0"
"","","","","","html-keyboard-response","29","73868","0.0-7.0-15.0","808958","","1249","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","",""
"","","","","","psychophysics","30","75697","0.0-7.0-16.0","808958","","1822","","","","","","","","","","","1","key","1","16.672229357798173","720","250","1"
"","","","","","html-keyboard-response","31","77145","0.0-7.0-17.0","808958","","1447","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","4","","","","","",""
"","","","","","psychophysics","32","78753","0.0-7.0-18.0","808958","","1604","","","","","","","","","","","2","key","2","16.66599999999999","720","250","1"
