"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","view_history","rt","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","win_width_deg","win_height_deg","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","correct_response"
"true","false","[]","[]","[]","preload","0","112","0.0-0.0","602415","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","25781","0.0-1.0","602415","[{""page_index"":0,""viewing_time"":16749},{""page_index"":1,""viewing_time"":3998},{""page_index"":2,""viewing_time"":4921}]","25668","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","29721","0.0-2.0","602415","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","3","65013","0.0-3.0","602415","","35290","85.6","53.98","390","4.56","463.73","10.546359484876223","36.979585283364464","69.22738533662341","38.940404251850666","","","","","","","",""
"","","","","","html-keyboard-response","4","66049","0.0-4.0","602415","","1036","","","","","","","","","","This is just trial run, press Space bar to continue"," ","","","","","",""
"","","","","","psychophysics","5","70344","0.0-5.0-0.0","602415","","4283","","","","","","","","","","","1","key","1","17.424730612244872","1280","250","1"
"","","","","","psychophysics","6","72190","0.0-5.0-1.0","602415","","1835","","","","","","","","","","","0","key","0","18.166336633663395","1280","250","0"
"","","","","","psychophysics","7","74117","0.0-5.0-2.0","602415","","1923","","","","","","","","","","","1","key","1","18.64235294117651","1280","250","1"
"","","","","","psychophysics","8","75782","0.0-5.0-3.0","602415","","1658","","","","","","","","","","","1","key","1","16.850204081632725","1280","250","1"
"","","","","","psychophysics","9","77678","0.0-5.0-4.0","602415","","1892","","","","","","","","","","","1","key","1","16.821142857142927","1280","250","1"
"","","","","","psychophysics","10","79045","0.0-5.0-5.0","602415","","1362","","","","","","","","","","","1","key","1","16.68000000000002","1280","250","1"
"","","","","","psychophysics","11","80693","0.0-5.0-6.0","602415","","1645","","","","","","","","","","","0","key","0","16.679999999999993","1280","250","0"
"","","","","","psychophysics","12","82166","0.0-5.0-7.0","602415","","1469","","","","","","","","","","","1","key","1","16.68000000000004","1280","250","1"
"","","","","","html-keyboard-response","13","83654","0.0-6.0","602415","","1488","","","","","","","","","","You have successfully completed the pilot , Press Space bar to continue to main block of experiment"," ","","","","","",""
"","","","","","psychophysics","14","85503","0.0-7.0-0.0","602415","","1828","","","","","","","","","","","1","key","1","16.680000000000028","1280","250","1"
