"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","view_history","rt","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","win_width_deg","win_height_deg","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","correct_response"
"true","false","[]","[]","[]","preload","0","87","0.0-0.0","701145","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","56267","0.0-1.0","701145","[{""page_index"":0,""viewing_time"":26029},{""page_index"":1,""viewing_time"":12083},{""page_index"":2,""viewing_time"":18068}]","56180","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","59571","0.0-2.0","701145","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","3","233765","0.0-3.0","701145","","174192","85.6","53.98","449","5.25","605.36","8.088362329621186","55.51185539199611","25.940404798785092","16.212752999240685","","","","","","","",""
"","","","","","html-keyboard-response","4","235678","0.0-4.0","701145","","1908","","","","","","","","","","This is just trial run, press Space bar to continue"," ","","","","","",""
"","","","","","psychophysics","5","242768","0.0-5.0-0.0","701145","","7059","","","","","","","","","","","0","key","0","16.664941176470602","720","250","0"
"","","","","","psychophysics","6","245602","0.0-5.0-1.0","701145","","2830","","","","","","","","","","","0","key","0","16.66674556213031","720","250","1"
"","","","","","psychophysics","7","247655","0.0-5.0-2.0","701145","","2049","","","","","","","","","","","0","key","0","16.66672131147538","720","250","0"
"","","","","","psychophysics","8","250632","0.0-5.0-3.0","701145","","2973","","","","","","","","","","","0","key","0","16.666853932584335","720","250","1"
"","","","","","psychophysics","9","252388","0.0-5.0-4.0","701145","","1752","","","","","","","","","","","0","key","0","16.66692307692294","720","250","1"
"","","","","","psychophysics","10","253585","0.0-5.0-5.0","701145","","1191","","","","","","","","","","","0","key","0","16.66676056337982","720","250","1"
"","","","","","psychophysics","11","255247","0.0-5.0-6.0","701145","","1659","","","","","","","","","","","0","key","0","16.666868686868288","720","250","1"
"","","","","","psychophysics","12","257917","0.0-5.0-7.0","701145","","2669","","","","","","","","","","","1","key","1","16.666918238993578","720","250","1"
"","","","","","html-keyboard-response","13","260835","0.0-6.0","701145","","2915","","","","","","","","","","You have successfully completed the pilot , Press Space bar to continue to main block of experiment"," ","","","","","",""
"","","","","","psychophysics","14","265982","0.0-7.0-0.0","701145","","5142","","","","","","","","","","","1","key","1","16.642006472491925","720","250","1"
"","","","","","html-keyboard-response","15","268400","0.0-7.0-1.0","701145","","2415","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","1","","","","","",""
"","","","","","psychophysics","16","270004","0.0-7.0-2.0","701145","","1595","","","","","","","","","","","1","key","1","16.59958333333331","720","250","0"
"","","","","","html-keyboard-response","17","272011","0.0-7.0-3.0","701145","","2005","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","1","","","","","",""
"","","","","","psychophysics","18","274533","0.0-7.0-4.0","701145","","2513","","","","","","","","","","","1","key","1","16.661324503311167","720","250","1"
"","","","","","html-keyboard-response","19","275233","0.0-7.0-5.0","701145","","697","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","1","","","","","",""
"","","","","","psychophysics","20","277732","0.0-7.0-6.0","701145","","2492","","","","","","","","","","","1","key","1","16.631866666666465","720","250","1"
"","","","","","html-keyboard-response","21","280281","0.0-7.0-7.0","701145","","2547","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","",""
"","","","","","psychophysics","22","282391","0.0-7.0-8.0","701145","","2102","","","","","","","","","","","1","key","1","16.634920634920636","720","250","1"
"","","","","","html-keyboard-response","23","284047","0.0-7.0-9.0","701145","","1655","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","",""
"","","","","","psychophysics","24","285416","0.0-7.0-10.0","701145","","1360","","","","","","","","","","","1","key","1","16.623658536584827","720","250","0"
"","","","","","html-keyboard-response","25","286547","0.0-7.0-11.0","701145","","1131","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","",""
"","","","","","psychophysics","26","287968","0.0-7.0-12.0","701145","","1412","","","","","","","","","","","1","key","1","16.620941176470232","720","250","1"
"","","","","","html-keyboard-response","27","288318","0.0-7.0-13.0","701145","","347","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","",""
"","","","","","psychophysics","28","289301","0.0-7.0-14.0","701145","","974","","","","","","","","","","","1","key","1","16.53457627118707","720","250","0"
"","","","","","html-keyboard-response","29","289555","0.0-7.0-15.0","701145","","252","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","",""
"","","","","","psychophysics","30","291234","0.0-7.0-16.0","701145","","1671","","","","","","","","","","","1","key","1","16.551683168316554","720","250","1"
"","","","","","html-keyboard-response","31","291449","0.0-7.0-17.0","701145","","213","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","",""
"","","","","","psychophysics","32","292512","0.0-7.0-18.0","701145","","1060","","","","","","","","","","","1","key","1","16.58031250000022","720","250","1"
"","","","","","html-keyboard-response","33","292796","0.0-7.0-19.0","701145","","284","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","",""
"","","","","","psychophysics","34","293895","0.0-7.0-20.0","701145","","1090","","","","","","","","","","","1","key","1","16.625151515151657","720","250","1"
