"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","view_history","rt","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","win_width_deg","win_height_deg","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","correct_response"
"true","false","[]","[]","[]","preload","0","14","0.0-0.0","161603","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","5481","0.0-1.0","161603","[{""page_index"":0,""viewing_time"":3137},{""page_index"":1,""viewing_time"":1033},{""page_index"":2,""viewing_time"":1298}]","5468","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","7754","0.0-2.0","161603","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","3","46201","0.0-3.0","161603","","38443","85.6","53.98","460","5.37","536.5","9.122374144888362","50.42546958652828","28.556997323128783","17.84812332695549","","","","","","","",""
"","","","","","html-keyboard-response","4","47226","0.0-4.0","161603","","1020","","","","","","","","","","This is just trial run, press Space bar to continue"," ","","","","","",""
"","","","","","psychophysics","5","51017","0.0-5.0-0.0","161603","","3778","","","","","","","","","","","1","key","1","16.688017621145377","720","250","1"
"","","","","","psychophysics","6","52270","0.0-5.0-1.0","161603","","1251","","","","","","","","","","","1","key","1","16.670540540540575","720","250","1"
"","","","","","psychophysics","7","54110","0.0-5.0-2.0","161603","","1837","","","","","","","","","","","2","key","2","16.665871559633043","720","250","1"
"","","","","","psychophysics","8","57109","0.0-5.0-3.0","161603","","2991","","","","","","","","","","","0","key","0","16.672402234636873","720","250","0"
"","","","","","psychophysics","9","58906","0.0-5.0-4.0","161603","","1793","","","","","","","","","","","2","key","2","16.66934579439248","720","250","1"
"","","","","","psychophysics","10","60118","0.0-5.0-5.0","161603","","1205","","","","","","","","","","","1","key","1","16.6669444444444","720","250","1"
"","","","","","psychophysics","11","64171","0.0-5.0-6.0","161603","","4050","","","","","","","","","","","0","key","0","16.670578512396688","720","250","0"
"","","","","","psychophysics","12","65366","0.0-5.0-7.0","161603","","1192","","","","","","","","","","","1","key","1","16.67633802816897","720","250","1"
"","","","","","html-keyboard-response","13","66349","0.0-6.0","161603","","982","","","","","","","","","","You have successfully completed the pilot , Press Space bar to continue to main block of experiment"," ","","","","","",""
"","","","","","psychophysics","14","67528","0.0-7.0-0.0","161603","","1170","","","","","","","","","","","1","key","1","16.632285714285846","720","250","1"
"","","","","","html-keyboard-response","15","68859","0.0-7.0-1.0","161603","","1329","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","",""
"","","","","","psychophysics","16","70519","0.0-7.0-2.0","161603","","1650","","","","","","","","","","","2","key","2","16.52779999999999","720","250","1"
"","","","","","html-keyboard-response","17","70837","0.0-7.0-3.0","161603","","317","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","",""
"","","","","","psychophysics","18","71901","0.0-7.0-4.0","161603","","1059","","","","","","","","","","","0","key","0","16.822539682539563","720","250","0"
"","","","","","html-keyboard-response","19","72782","0.0-7.0-5.0","161603","","881","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","",""
"","","","","","psychophysics","20","74870","0.0-7.0-6.0","161603","","2078","","","","","","","","","","","1","key","1","16.64544000000006","720","250","1"
"","","","","","html-keyboard-response","21","75201","0.0-7.0-7.0","161603","","329","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","",""
"","","","","","psychophysics","22","76787","0.0-7.0-8.0","161603","","1577","","","","","","","","","","","0","key","0","16.61978947368426","720","250","0"
"","","","","","html-keyboard-response","23","77257","0.0-7.0-9.0","161603","","468","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","",""
"","","","","","psychophysics","24","78536","0.0-7.0-10.0","161603","","1272","","","","","","","","","","","0","key","0","16.53974025974023","720","250","0"
"","","","","","html-keyboard-response","25","78862","0.0-7.0-11.0","161603","","323","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","",""
"","","","","","psychophysics","26","80203","0.0-7.0-12.0","161603","","1333","","","","","","","","","","","1","key","1","16.690499999999883","720","250","1"
"","","","","","html-keyboard-response","27","80491","0.0-7.0-13.0","161603","","285","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","",""
"","","","","","psychophysics","28","82089","0.0-7.0-14.0","161603","","1589","","","","","","","","","","","2","key","2","16.55708333333344","720","250","1"
"","","","","","html-keyboard-response","29","82428","0.0-7.0-15.0","161603","","337","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","",""
"","","","","","psychophysics","30","84006","0.0-7.0-16.0","161603","","1569","","","","","","","","","","","1","key","1","16.68212765957442","720","250","1"
"","","","","","html-keyboard-response","31","84320","0.0-7.0-17.0","161603","","311","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","",""
"","","","","","psychophysics","32","85788","0.0-7.0-18.0","161603","","1460","","","","","","","","","","","2","key","2","16.601136363636297","720","250","1"
"","","","","","html-keyboard-response","33","86106","0.0-7.0-19.0","161603","","316","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","",""
"","","","","","psychophysics","34","87238","0.0-7.0-20.0","161603","","1124","","","","","","","","","","","0","key","0","16.537941176470614","720","250","0"
"","","","","","html-keyboard-response","35","87526","0.0-7.0-21.0","161603","","287","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","",""
"","","","","","psychophysics","36","88820","0.0-7.0-22.0","161603","","1286","","","","","","","","","","","0","key","0","16.714025974025922","720","250","0"
