"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","view_history","rt","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","win_width_deg","win_height_deg","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","correct_response"
"true","false","[]","[]","[]","preload","0","287","0.0-0.0","627206","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","41958","0.0-1.0","627206","[{""page_index"":0,""viewing_time"":20073},{""page_index"":1,""viewing_time"":7407},{""page_index"":2,""viewing_time"":14189}]","41670","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","45601","0.0-2.0","627206","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","3","217379","0.0-3.0","627206","","171776","85.6","53.98","374","4.37","1280.73","3.8280466395439","97.69995906961074","15.721603311067996","8.843401862475748","","","","","","","",""
"","","","","","html-keyboard-response","4","219623","0.0-4.0","627206","","2241","","","","","","","","","","This is just trial run, press Space bar to continue"," ","","","","","",""
"","","","","","psychophysics","5","230505","0.0-5.0-0.0","627206","","10858","","","","","","","","","","","1","key","1","25.981723150358004","768","250","1"
"","","","","","psychophysics","6","247399","0.0-5.0-1.0","627206","","16891","","","","","","","","","","","1","key","1","16.863288711288714","768","250","0"
"","","","","","psychophysics","7","249524","0.0-5.0-2.0","627206","","2117","","","","","","","","","","","2","key","2","16.862848","768","250","1"
"","","","","","psychophysics","8","251007","0.0-5.0-3.0","627206","","1480","","","","","","","","","","","1","key","1","16.866632183908013","768","250","1"
"","","","","","psychophysics","9","252526","0.0-5.0-4.0","627206","","1515","","","","","","","","","","","1","key","1","16.863157303370745","768","250","0"
"","","","","","psychophysics","10","254314","0.0-5.0-5.0","627206","","1782","","","","","","","","","","","2","key","2","16.862714285714485","768","250","1"
"","","","","","psychophysics","11","260761","0.0-5.0-6.0","627206","","6446","","","","","","","","","","","1","key","1","16.863333333333316","768","250","1"
"","","","","","psychophysics","12","263401","0.0-5.0-7.0","627206","","2639","","","","","","","","","","","1","key","1","16.86406410256407","768","250","1"
"","","","","","html-keyboard-response","13","267062","0.0-6.0","627206","","3661","","","","","","","","","","You have successfully completed the pilot , Press Space bar to continue to main block of experiment"," ","","","","","",""
