"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","view_history","rt","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","win_width_deg","win_height_deg","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","correct_response"
"true","false","[]","[]","[]","preload","0","26","0.0-0.0","565922","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","3464","0.0-1.0","565922","[{""page_index"":0,""viewing_time"":1214},{""page_index"":1,""viewing_time"":758},{""page_index"":2,""viewing_time"":1466}]","3438","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","5247","0.0-2.0","565922","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","3","28337","0.0-3.0","565922","","23089","85.6","53.98","441","5.15","535.69","9.13610946513028","48.26999957511032","29.832194171853978","18.645121357408737","","","","","","","",""
"","","","","","html-keyboard-response","4","29027","0.0-4.0","565922","","687","","","","","","","","","","This is just trial run, press Space bar to continue"," ","","","","","",""
"","","","","","psychophysics","5","31360","0.0-5.0-0.0","565922","","2326","","","","","","","","","","","1","key","1","11.46571428571429","720","250","1"
"","","","","","psychophysics","6","34573","0.0-5.0-1.0","565922","","3210","","","","","","","","","","","0","key","0","11.110902777777774","720","250","0"
"","","","","","psychophysics","7","35815","0.0-5.0-2.0","565922","","1239","","","","","","","","","","","1","key","1","11.11117117117114","720","250","1"
"","","","","","psychophysics","8","37205","0.0-5.0-3.0","565922","","1386","","","","","","","","","","","1","key","1","11.110483870967776","720","250","1"
"","","","","","psychophysics","9","40885","0.0-5.0-4.0","565922","","3679","","","","","","","","","","","0","key","0","11.110858895705519","720","250","0"
"","","","","","psychophysics","10","42412","0.0-5.0-5.0","565922","","1525","","","","","","","","","","","1","key","1","11.276444444444442","720","250","1"
"","","","","","psychophysics","11","43655","0.0-5.0-6.0","565922","","1238","","","","","","","","","","","1","key","1","11.1100900900901","720","250","1"
"","","","","","psychophysics","12","45923","0.0-5.0-7.0","565922","","2263","","","","","","","","","","","1","key","1","11.111133004926133","720","250","1"
"","","","","","html-keyboard-response","13","47300","0.0-6.0","565922","","1375","","","","","","","","","","You have successfully completed the pilot , Press Space bar to continue to main block of experiment"," ","","","","","",""
"","","","","","psychophysics","14","48934","0.0-7.0-0.0","565922","","1632","","","","","","","","","","","0","key","0","11.107210884353705","720","250","0"
"","","","","","html-keyboard-response","15","50222","0.0-7.0-1.0","565922","","1284","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","",""
"","","","","","psychophysics","16","51913","0.0-7.0-2.0","565922","","1688","","","","","","","","","","","0","key","0","11.101578947368388","720","250","0"
"","","","","","html-keyboard-response","17","53303","0.0-7.0-3.0","565922","","1389","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","",""
"","","","","","psychophysics","18","54703","0.0-7.0-4.0","565922","","1398","","","","","","","","","","","1","key","1","11.079682539682546","720","250","1"
"","","","","","html-keyboard-response","19","55701","0.0-7.0-5.0","565922","","998","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","",""
"","","","","","psychophysics","20","56991","0.0-7.0-6.0","565922","","1288","","","","","","","","","","","1","key","1","11.09051724137931","720","250","1"
"","","","","","html-keyboard-response","21","57872","0.0-7.0-7.0","565922","","878","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","",""
"","","","","","psychophysics","22","59451","0.0-7.0-8.0","565922","","1573","","","","","","","","","","","1","key","1","10.988251748251747","720","250","1"
"","","","","","html-keyboard-response","23","60628","0.0-7.0-9.0","565922","","1176","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","",""
"","","","","","psychophysics","24","61716","0.0-7.0-10.0","565922","","1085","","","","","","","","","","","1","key","1","11.629032258064516","720","250","1"
"","","","","","html-keyboard-response","25","62543","0.0-7.0-11.0","565922","","826","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","",""
"","","","","","psychophysics","26","63736","0.0-7.0-12.0","565922","","1190","","","","","","","","","","","1","key","1","11.108411214953257","720","250","1"
"","","","","","html-keyboard-response","27","64921","0.0-7.0-13.0","565922","","1183","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","",""
"","","","","","psychophysics","28","66683","0.0-7.0-14.0","565922","","1757","","","","","","","","","","","1","key","1","11.039874213836455","720","250","1"
"","","","","","html-keyboard-response","29","67243","0.0-7.0-15.0","565922","","559","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","",""
"","","","","","psychophysics","30","68471","0.0-7.0-16.0","565922","","1222","","","","","","","","","","","1","key","1","11.010270270270265","720","250","1"
"","","","","","html-keyboard-response","31","69385","0.0-7.0-17.0","565922","","914","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","",""
"","","","","","psychophysics","32","70994","0.0-7.0-18.0","565922","","1604","","","","","","","","","","","0","key","0","11.046896551724158","720","250","0"
"","","","","","html-keyboard-response","33","71608","0.0-7.0-19.0","565922","","613","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","",""
"","","","","","psychophysics","34","73637","0.0-7.0-20.0","565922","","2020","","","","","","","","","","","1","key","1","11.176022099447517","720","250","1"
"","","","","","html-keyboard-response","35","74340","0.0-7.0-21.0","565922","","700","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","",""
"","","","","","psychophysics","36","75445","0.0-7.0-22.0","565922","","1099","","","","","","","","","","","1","key","1","11.028600000000006","720","250","1"
"","","","","","html-keyboard-response","37","76228","0.0-7.0-23.0","565922","","782","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","",""
"","","","","","psychophysics","38","77210","0.0-7.0-24.0","565922","","975","","","","","","","","","","","1","key","1","11.02863636363641","720","250","1"
"","","","","","html-keyboard-response","39","77714","0.0-7.0-25.0","565922","","502","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","",""
