"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","view_history","rt","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","win_width_deg","win_height_deg","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","correct_response"
"true","false","[]","[]","[]","preload","0","16","0.0-0.0","256270","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","5186","0.0-1.0","256270","[{""page_index"":0,""viewing_time"":2795},{""page_index"":1,""viewing_time"":1181},{""page_index"":2,""viewing_time"":1193}]","5169","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","7263","0.0-2.0","256270","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","3","54155","0.0-3.0","256270","","46887","85.6","53.98","387","4.52","548.93","8.916649009642192","43.40195510460376","29.49175899829976","18.43234937393735","","","","","","","",""
"","","","","","html-keyboard-response","4","55543","0.0-4.0","256270","","1387","","","","","","","","","","This is just trial run, press Space bar to continue"," ","","","","","",""
"","","","","","psychophysics","5","68827","0.0-5.0-0.0","256270","","13269","","","","","","","","","","","2","key","2","33.34970100502512","640","250","1"
"","","","","","psychophysics","6","70423","0.0-5.0-1.0","256270","","1594","","","","","","","","","","","1","key","1","33.34799999999999","640","250","1"
"","","","","","psychophysics","7","73039","0.0-5.0-2.0","256270","","2606","","","","","","","","","","","0","key","0","33.34800000000003","640","250","0"
"","","","","","psychophysics","8","74376","0.0-5.0-3.0","256270","","1335","","","","","","","","","","","0","key","0","33.348000000000006","640","250","0"
"","","","","","psychophysics","9","76105","0.0-5.0-4.0","256270","","1727","","","","","","","","","","","1","key","1","33.34799999999985","640","250","1"
"","","","","","psychophysics","10","77666","0.0-5.0-5.0","256270","","1560","","","","","","","","","","","1","key","1","33.35534782608706","640","250","1"
"","","","","","psychophysics","11","78875","0.0-5.0-6.0","256270","","1207","","","","","","","","","","","1","key","1","33.3479999999998","640","250","1"
"","","","","","psychophysics","12","80285","0.0-5.0-7.0","256270","","1403","","","","","","","","","","","1","key","1","33.347999999999914","640","250","1"
"","","","","","html-keyboard-response","13","81592","0.0-6.0","256270","","1307","","","","","","","","","","You have successfully completed the pilot , Press Space bar to continue to main block of experiment"," ","","","","","",""
