"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","view_history","rt","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","win_width_deg","win_height_deg","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","correct_response"
"true","false","[]","[]","[]","preload","0","13","0.0-0.0","240707","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","54825","0.0-1.0","240707","[{""page_index"":0,""viewing_time"":3977},{""page_index"":1,""viewing_time"":32048},{""page_index"":2,""viewing_time"":18786}]","54812","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","57027","0.0-2.0","240707","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","3","168349","0.0-3.0","240707","","111321","85.6","53.98","436","5.09","936.44","5.23376607736248","83.30521340757345","17.28583291605957","10.80364557253723","","","","","","","",""
"","","","","","html-keyboard-response","4","172790","0.0-4.0","240707","","4439","","","","","","","","","","This is just trial run, press Space bar to continue"," ","","","","","",""
"","","","","","psychophysics","5","176033","0.0-5.0-0.0","240707","","3193","","","","","","","","","","","1","key","1","31.67","720","250","1"
"","","","","","psychophysics","6","178597","0.0-5.0-1.0","240707","","2557","","","","","","","","","","","1","key","1","33.3421052631579","720","250","1"
"","","","","","psychophysics","7","181654","0.0-5.0-2.0","240707","","3051","","","","","","","","","","","0","key","0","32.623655913978496","720","250","0"
"","","","","","psychophysics","8","183040","0.0-5.0-3.0","240707","","1378","","","","","","","","","","","1","key","1","31.761904761904763","720","250","1"
"","","","","","psychophysics","9","185586","0.0-5.0-4.0","240707","","2539","","","","","","","","","","","0","key","0","32.41025641025641","720","250","0"
"","","","","","psychophysics","10","187862","0.0-5.0-5.0","240707","","2270","","","","","","","","","","","2","key","2","31.450704225352112","720","250","1"
"","","","","","psychophysics","11","189617","0.0-5.0-6.0","240707","","1748","","","","","","","","","","","1","key","1","32.092592592592595","720","250","1"
"","","","","","psychophysics","12","191018","0.0-5.0-7.0","240707","","1396","","","","","","","","","","","1","key","1","33.34146341463415","720","250","1"
"","","","","","html-keyboard-response","13","193971","0.0-6.0","240707","","2951","","","","","","","","","","You have successfully completed the pilot , Press Space bar to continue to main block of experiment"," ","","","","","",""
"","","","","","psychophysics","14","196099","0.0-7.0-0.0","240707","","2120","","","","","","","","","","","0","key","0","32.30769230769231","720","250","0"
"","","","","","html-keyboard-response","15","198871","0.0-7.0-1.0","240707","","2770","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","",""
"","","","","","psychophysics","16","200829","0.0-7.0-2.0","240707","","1950","","","","","","","","","","","0","key","0","33.327586206896555","720","250","1"
"","","","","","html-keyboard-response","17","202410","0.0-7.0-3.0","240707","","1581","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","",""
"","","","","","psychophysics","18","204029","0.0-7.0-4.0","240707","","1610","","","","","","","","","","","1","key","1","33.354166666666664","720","250","1"
"","","","","","html-keyboard-response","19","205935","0.0-7.0-5.0","240707","","1904","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","",""
"","","","","","psychophysics","20","207701","0.0-7.0-6.0","240707","","1759","","","","","","","","","","","0","key","0","32.092592592592595","720","250","0"
"","","","","","html-keyboard-response","21","208893","0.0-7.0-7.0","240707","","1189","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","",""
"","","","","","psychophysics","22","210350","0.0-7.0-8.0","240707","","1451","","","","","","","","","","","1","key","1","31.844444444444445","720","250","1"
