"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","view_history","rt","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","win_width_deg","win_height_deg","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","correct_response"
"true","false","[]","[]","[]","preload","0","51","0.0-0.0","489474","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","3297","0.0-1.0","489474","[{""page_index"":0,""viewing_time"":1452},{""page_index"":1,""viewing_time"":846},{""page_index"":2,""viewing_time"":947}]","3245","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","5426","0.0-2.0","489474","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","3","24074","0.0-3.0","489474","","18646","85.6","53.98","346","4.04","693.18","7.066419002983604","48.96398017919838","31.369998810932998","17.64562433114981","","","","","","","",""
"","","","","","html-keyboard-response","4","24668","0.0-4.0","489474","","592","","","","","","","","","","This is just trial run, press Space bar to continue"," ","","","","","",""
"","","","","","psychophysics","5","26881","0.0-5.0-0.0","489474","","2188","","","","","","","","","","","1","key","1","19.962162162162155","768","250","0"
"","","","","","psychophysics","6","28319","0.0-5.0-1.0","489474","","1433","","","","","","","","","","","1","key","1","18.39588311688312","768","250","1"
"","","","","","psychophysics","7","29593","0.0-5.0-2.0","489474","","1271","","","","","","","","","","","1","key","1","17.11521621621624","768","250","0"
"","","","","","psychophysics","8","30944","0.0-5.0-3.0","489474","","1335","","","","","","","","","","","1","key","1","16.661537499999987","768","250","1"
"","","","","","psychophysics","9","32002","0.0-5.0-4.0","489474","","1055","","","","","","","","","","","1","key","1","16.66358064516123","768","250","1"
"","","","","","psychophysics","10","33149","0.0-5.0-5.0","489474","","1140","","","","","","","","","","","1","key","1","19.201983050847478","768","250","1"
"","","","","","psychophysics","11","34112","0.0-5.0-6.0","489474","","960","","","","","","","","","","","1","key","1","16.66084210526312","768","250","1"
"","","","","","psychophysics","12","35125","0.0-5.0-7.0","489474","","1010","","","","","","","","","","","1","key","1","18.518351851851886","768","250","1"
"","","","","","html-keyboard-response","13","36471","0.0-6.0","489474","","1345","","","","","","","","","","You have successfully completed the pilot , Press Space bar to continue to main block of experiment"," ","","","","","",""
"","","","","","psychophysics","14","37882","0.0-7.0-0.0","489474","","1408","","","","","","","","","","","1","key","1","20.899805970149202","768","250","1"
