"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","view_history","rt","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","win_width_deg","win_height_deg","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","correct_response"
"true","false","[]","[]","[]","preload","0","5","0.0-0.0","989737","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","3848","0.0-1.0","989737","[{""page_index"":0,""viewing_time"":1911},{""page_index"":1,""viewing_time"":1149},{""page_index"":2,""viewing_time"":783}]","3843","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","5982","0.0-2.0","989737","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","3","28332","0.0-3.0","989737","","22349","85.6","53.98","412","4.81","545.27","8.976256253992888","45.89886789570328","39.04235729892052","24.401473311825328","","","","","","","",""
"","","","","","html-keyboard-response","4","29229","0.0-4.0","989737","","896","","","","","","","","","","This is just trial run, press Space bar to continue"," ","","","","","",""
"","","","","","psychophysics","5","33199","0.0-5.0-0.0","989737","","3953","","","","","","","","","","","1","key","1","16.352697095435683","896","250","1"
"","","","","","psychophysics","6","35859","0.0-5.0-1.0","989737","","2655","","","","","","","","","","","1","key","1","16.453416149068325","896","250","1"
"","","","","","psychophysics","7","37345","0.0-5.0-2.0","989737","","1481","","","","","","","","","","","1","key","1","16.670454545454547","896","250","1"
"","","","","","psychophysics","8","39267","0.0-5.0-3.0","989737","","1919","","","","","","","","","","","0","key","0","16.379310344827587","896","250","0"
"","","","","","psychophysics","9","40193","0.0-5.0-4.0","989737","","923","","","","","","","","","","","1","key","1","16.654545454545456","896","250","1"
"","","","","","psychophysics","10","41186","0.0-5.0-5.0","989737","","990","","","","","","","","","","","1","key","1","15.580645161290322","896","250","1"
"","","","","","psychophysics","11","42042","0.0-5.0-6.0","989737","","851","","","","","","","","","","","1","key","1","15.943396226415095","896","250","1"
"","","","","","psychophysics","12","44631","0.0-5.0-7.0","989737","","2585","","","","","","","","","","","0","key","0","16.46153846153846","896","250","0"
"","","","","","html-keyboard-response","13","45999","0.0-6.0","989737","","1367","","","","","","","","","","You have successfully completed the pilot , Press Space bar to continue to main block of experiment"," ","","","","","",""
"","","","","","psychophysics","14","47052","0.0-7.0-0.0","989737","","1050","","","","","","","","","","","1","key","1","16.140625","896","250","1"
"","","","","","html-keyboard-response","15","47924","0.0-7.0-1.0","989737","","870","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","",""
"","","","","","psychophysics","16","48770","0.0-7.0-2.0","989737","","842","","","","","","","","","","","1","key","1","16","896","250","1"
"","","","","","html-keyboard-response","17","49319","0.0-7.0-3.0","989737","","547","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","",""
"","","","","","psychophysics","18","50181","0.0-7.0-4.0","989737","","857","","","","","","","","","","","1","key","1","16.01923076923077","896","250","1"
"","","","","","html-keyboard-response","19","50631","0.0-7.0-5.0","989737","","449","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","",""
"","","","","","psychophysics","20","51512","0.0-7.0-6.0","989737","","878","","","","","","","","","","","1","key","1","16.673076923076923","896","250","1"
"","","","","","html-keyboard-response","21","51891","0.0-7.0-7.0","989737","","378","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","",""
