"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","view_history","rt","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","win_width_deg","win_height_deg","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","correct_response"
"true","false","[]","[]","[]","preload","0","7","0.0-0.0","457156","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","5571","0.0-1.0","457156","[{""page_index"":0,""viewing_time"":3587},{""page_index"":1,""viewing_time"":1203},{""page_index"":2,""viewing_time"":772}]","5563","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","8670","0.0-2.0","457156","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","3","45646","0.0-3.0","457156","","36972","85.6","53.98","386","4.51","1000.23","4.900401530792821","78.76905546912403","18.28129068482296","11.425806678014348","","","","","","","",""
"","","","","","html-keyboard-response","4","47317","0.0-4.0","457156","","1670","","","","","","","","","","This is just trial run, press Space bar to continue"," ","","","","","",""
"","","","","","psychophysics","5","49497","0.0-5.0-0.0","457156","","2174","","","","","","","","","","","0","key","0","16.67006153846154","720","250","0"
"","","","","","psychophysics","6","51597","0.0-5.0-1.0","457156","","2093","","","","","","","","","","","0","key","0","16.666","720","250","0"
"","","","","","psychophysics","7","53162","0.0-5.0-2.0","457156","","1563","","","","","","","","","","","1","key","1","16.66600000000002","720","250","1"
"","","","","","psychophysics","8","54825","0.0-5.0-3.0","457156","","1654","","","","","","","","","","","0","key","0","16.66600000000001","720","250","1"
"","","","","","psychophysics","9","55957","0.0-5.0-4.0","457156","","1129","","","","","","","","","","","1","key","1","16.666000000000047","720","250","1"
"","","","","","psychophysics","10","58204","0.0-5.0-5.0","457156","","2239","","","","","","","","","","","0","key","0","16.66599999999999","720","250","1"
"","","","","","psychophysics","11","59294","0.0-5.0-6.0","457156","","1087","","","","","","","","","","","1","key","1","16.66599999999994","720","250","1"
"","","","","","psychophysics","12","60923","0.0-5.0-7.0","457156","","1623","","","","","","","","","","","0","key","0","16.66599999999999","720","250","1"
"","","","","","html-keyboard-response","13","62256","0.0-6.0","457156","","1332","","","","","","","","","","You have successfully completed the pilot , Press Space bar to continue to main block of experiment"," ","","","","","",""
"","","","","","psychophysics","14","64751","0.0-7.0-0.0","457156","","2490","","","","","","","","","","","1","key","1","16.66599999999996","720","250","1"
"","","","","","html-keyboard-response","15","66097","0.0-7.0-1.0","457156","","1345","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","",""
"","","","","","psychophysics","16","68089","0.0-7.0-2.0","457156","","1984","","","","","","","","","","","1","key","1","16.67035833333333","720","250","1"
"","","","","","html-keyboard-response","17","68837","0.0-7.0-3.0","457156","","748","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","",""
"","","","","","psychophysics","18","70436","0.0-7.0-4.0","457156","","1592","","","","","","","","","","","1","key","1","16.666000000000015","720","250","1"
"","","","","","html-keyboard-response","19","70546","0.0-7.0-5.0","457156","","110","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","",""
"","","","","","psychophysics","20","71565","0.0-7.0-6.0","457156","","1012","","","","","","","","","","","1","key","1","16.666000000000064","720","250","1"
"","","","","","html-keyboard-response","21","71699","0.0-7.0-7.0","457156","","133","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","",""
"","","","","","psychophysics","22","73295","0.0-7.0-8.0","457156","","1592","","","","","","","","","","","0","key","0","16.665999999999865","720","250","0"
