"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","view_history","rt","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","win_width_deg","win_height_deg","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","correct_response"
"true","false","[]","[]","[]","preload","0","12","0.0-0.0","276224","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","15832","0.0-1.0","276224","[{""page_index"":0,""viewing_time"":11240},{""page_index"":1,""viewing_time"":1514},{""page_index"":2,""viewing_time"":3063}]","15818","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","29657","0.0-2.0","276224","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","3","80994","0.0-3.0","276224","","51326","85.6","53.98","386","4.51","570.46","8.58140280902206","44.98099070634218","28.45646527344103","16.006761716310578","","","","","","","",""
"","","","","","html-keyboard-response","4","82501","0.0-4.0","276224","","1504","","","","","","","","","","This is just trial run, press Space bar to continue"," ","","","","","",""
"","","","","","psychophysics","5","86027","0.0-5.0-0.0","276224","","3518","","","","","","","","","","","1","key","1","16.650943396226417","640","250","1"
"","","","","","psychophysics","6","89241","0.0-5.0-1.0","276224","","3197","","","","","","","","","","","1","key","1","16.651041666666668","640","250","0"
"","","","","","psychophysics","7","94023","0.0-5.0-2.0","276224","","4774","","","","","","","","","","","1","key","1","16.653846153846153","640","250","1"
"","","","","","psychophysics","8","95902","0.0-5.0-3.0","276224","","1865","","","","","","","","","","","0","key","0","16.651785714285715","640","250","0"
"","","","","","psychophysics","9","97808","0.0-5.0-4.0","276224","","1897","","","","","","","","","","","1","key","1","16.646017699115045","640","250","1"
"","","","","","psychophysics","10","99638","0.0-5.0-5.0","276224","","1816","","","","","","","","","","","1","key","1","16.65137614678899","640","250","1"
"","","","","","psychophysics","11","100773","0.0-5.0-6.0","276224","","1120","","","","","","","","","","","1","key","1","16.65671641791045","640","250","1"
"","","","","","psychophysics","12","102214","0.0-5.0-7.0","276224","","1429","","","","","","","","","","","1","key","1","16.651162790697676","640","250","1"
"","","","","","html-keyboard-response","13","103970","0.0-6.0","276224","","1753","","","","","","","","","","You have successfully completed the pilot , Press Space bar to continue to main block of experiment"," ","","","","","",""
"","","","","","psychophysics","14","105942","0.0-7.0-0.0","276224","","1961","","","","","","","","","","","0","key","0","16.796610169491526","640","250","0"
"","","","","","html-keyboard-response","15","108104","0.0-7.0-1.0","276224","","2158","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","",""
"","","","","","psychophysics","16","110133","0.0-7.0-2.0","276224","","2022","","","","","","","","","","","1","key","1","16.644628099173552","640","250","1"
"","","","","","html-keyboard-response","17","112859","0.0-7.0-3.0","276224","","2723","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","",""
"","","","","","psychophysics","18","115334","0.0-7.0-4.0","276224","","2469","","","","","","","","","","","1","key","1","16.651006711409394","640","250","1"
"","","","","","html-keyboard-response","19","117273","0.0-7.0-5.0","276224","","1936","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","4","","","","","",""
"","","","","","psychophysics","20","119980","0.0-7.0-6.0","276224","","2702","","","","","","","","","","","1","key","1","16.650306748466257","640","250","1"
"","","","","","html-keyboard-response","21","121470","0.0-7.0-7.0","276224","","1486","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","",""
"","","","","","psychophysics","22","123650","0.0-7.0-8.0","276224","","2168","","","","","","","","","","","1","key","1","16.64885496183206","640","250","1"
