"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","view_history","rt","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","win_width_deg","win_height_deg","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","correct_response"
"true","false","[]","[]","[]","preload","0","33","0.0-0.0","376785","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","20243","0.0-1.0","376785","[{""page_index"":0,""viewing_time"":16483},{""page_index"":1,""viewing_time"":1642},{""page_index"":2,""viewing_time"":2084}]","20209","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","22937","0.0-2.0","376785","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","3","144131","0.0-3.0","376785","","121191","85.6","53.98","392","4.58","569.02","8.6030380721392","45.565298759921305","33.709863466341346","18.96179819981701","","","","","","","",""
"","","","","","html-keyboard-response","4","146619","0.0-4.0","376785","","2487","","","","","","","","","","This is just trial run, press Space bar to continue"," ","","","","","",""
"","","","","","psychophysics","5","163835","0.0-5.0-0.0","376785","","17211","","","","","","","","","","","0","key","0","16.66634011627907","768","250","1"
"","","","","","psychophysics","6","166640","0.0-5.0-1.0","376785","","2801","","","","","","","","","","","1","key","1","16.666767857142812","768","250","1"
"","","","","","psychophysics","7","168618","0.0-5.0-2.0","376785","","1973","","","","","","","","","","","0","key","0","16.66542735042744","768","250","0"
"","","","","","psychophysics","8","170307","0.0-5.0-3.0","376785","","1685","","","","","","","","","","","2","key","2","16.66673267326729","768","250","1"
"","","","","","psychophysics","9","172143","0.0-5.0-4.0","376785","","1835","","","","","","","","","","","1","key","1","16.66620183486247","768","250","1"
"","","","","","psychophysics","10","173750","0.0-5.0-5.0","376785","","1605","","","","","","","","","","","1","key","1","16.66633684210522","768","250","1"
"","","","","","psychophysics","11","175921","0.0-5.0-6.0","376785","","2165","","","","","","","","","","","2","key","2","16.666730769230902","768","250","1"
"","","","","","psychophysics","12","177640","0.0-5.0-7.0","376785","","1715","","","","","","","","","","","0","key","0","16.666911764705826","768","250","0"
"","","","","","html-keyboard-response","13","180729","0.0-6.0","376785","","3088","","","","","","","","","","You have successfully completed the pilot , Press Space bar to continue to main block of experiment"," ","","","","","",""
