"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","view_history","rt","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","win_width_deg","win_height_deg","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","illusion"
"true","false","[]","[]","[]","preload","0","288","0.0-0.0","329163","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","9896","0.0-1.0","329163","[{""page_index"":0,""viewing_time"":1429},{""page_index"":1,""viewing_time"":6817},{""page_index"":2,""viewing_time"":1361}]","9608","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","12086","0.0-2.0","329163","","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","3","31134","0.0-3.0","329163","","19046","85.6","53.98","323","3.77","757.57","6.467139062921382","49.94480509192764","30.75394922801004","17.299096440755648","","","","","","","","",""
"","","","","","html-keyboard-response","4","31749","0.0-4.0","329163","","615","","","","","","","","","","This is just trial run, press Space bar to continue"," ","","","","","","",""
"","","","","","psychophysics","5","33426","0.0-5.0-0.0","329163","","1670","","","","","","","","","","","0","key","0","16.66015841584158","768","250","0","NO"
"","","","","","psychophysics","6","34434","0.0-5.0-1.0","329163","","1008","","","","","","","","","","","1","key","1","16.657833333333354","768","250","1","NO"
"","","","","","psychophysics","7","35511","0.0-5.0-2.0","329163","","1075","","","","","","","","","","","0","key","0","16.660809523809544","768","250","0","NO"
"","","","","","psychophysics","8","37288","0.0-5.0-3.0","329163","","1774","","","","","","","","","","","2","key","2","16.659688679245246","768","250","1","YES"
"","","","","","psychophysics","9","38501","0.0-5.0-4.0","329163","","1204","","","","","","","","","","","1","key","1","16.659208333333382","768","250","1","No"
"","","","","","psychophysics","10","39634","0.0-5.0-5.0","329163","","1130","","","","","","","","","","","1","key","1","16.661283582089613","768","250","1","NO"
"","","","","","psychophysics","11","40719","0.0-5.0-6.0","329163","","1081","","","","","","","","","","","1","key","1","17.483393442622965","768","250","1","No"
"","","","","","psychophysics","12","42035","0.0-5.0-7.0","329163","","1313","","","","","","","","","","","1","key","1","16.664064102564087","768","250","1","YES"
