"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","view_history","rt","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","win_width_deg","win_height_deg","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","illusion"
"true","false","[]","[]","[]","preload","0","25","0.0-0.0","905440","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","6040","0.0-1.0","905440","[{""page_index"":0,""viewing_time"":2029},{""page_index"":1,""viewing_time"":2086},{""page_index"":2,""viewing_time"":1896}]","6011","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","8669","0.0-2.0","905440","","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","3","49809","0.0-3.0","905440","","41134","85.6","53.98","460","5.37","592.35","8.265401056697053","55.65368175658994","22.999376853417886","12.937149480047562","","","","","","","","",""
"","","","","","html-keyboard-response","4","53119","0.0-4.0","905440","","3307","","","","","","","","","","This is just trial run, press Space bar to continue"," ","","","","","","",""
"","","","","","psychophysics","5","68879","0.0-5.0-0.0","905440","","15747","","","","","","","","","","","1","key","1","16.65560782241015","640","250","1","No"
"","","","","","psychophysics","6","71274","0.0-5.0-1.0","905440","","2380","","","","","","","","","","","1","key","1","16.656790209790223","640","250","1","No"
"","","","","","psychophysics","7","73336","0.0-5.0-2.0","905440","","2061","","","","","","","","","","","1","key","1","16.65774796747972","640","250","1","NO"
"","","","","","psychophysics","8","76305","0.0-5.0-3.0","905440","","2959","","","","","","","","","","","1","key","1","16.657395480225972","640","250","1","NO"
"","","","","","psychophysics","9","78367","0.0-5.0-4.0","905440","","2048","","","","","","","","","","","0","key","0","16.65608130081292","640","250","0","NO"
"","","","","","psychophysics","10","80087","0.0-5.0-5.0","905440","","1717","","","","","","","","","","","2","key","2","16.65791176470592","640","250","1","YES"
"","","","","","psychophysics","11","81750","0.0-5.0-6.0","905440","","1653","","","","","","","","","","","2","key","2","16.655505050504946","640","250","1","YES"
"","","","","","psychophysics","12","84040","0.0-5.0-7.0","905440","","2272","","","","","","","","","","","0","key","0","16.65898529411767","640","250","0","NO"
"","","","","","html-keyboard-response","13","111851","0.0-6.0","905440","","27808","","","","","","","","","","You have successfully completed the pilot , Press Space bar to continue to main block of experiment"," ","","","","","","",""
"","","","","","psychophysics","14","113927","0.0-7.0-0.0","905440","","2067","","","","","","","","","","","2","key","2","16.627256000000052","640","250","1","YES"
"","","","","","html-keyboard-response","15","117342","0.0-7.0-1.0","905440","","3412","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","3","","","","","","",""
"","","","","","psychophysics","16","119443","0.0-7.0-2.0","905440","","2092","","","","","","","","","","","0","key","0","16.65666666666659","640","250","0","NO"
"","","","","","html-keyboard-response","17","121235","0.0-7.0-3.0","905440","","1790","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","","",""
"","","","","","psychophysics","18","123306","0.0-7.0-4.0","905440","","2065","","","","","","","","","","","2","key","2","16.65582258064516","640","250","1","NO"
"","","","","","html-keyboard-response","19","124992","0.0-7.0-5.0","905440","","1685","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","","",""
"","","","","","psychophysics","20","126970","0.0-7.0-6.0","905440","","1958","","","","","","","","","","","2","key","2","16.65413445378155","640","250","1","NO"
