"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","view_history","rt","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","win_width_deg","win_height_deg","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","illusion"
"true","false","[]","[]","[]","preload","0","4","0.0-0.0","165439","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","3436","0.0-1.0","165439","[{""page_index"":0,""viewing_time"":1165},{""page_index"":1,""viewing_time"":1066},{""page_index"":2,""viewing_time"":1200}]","3431","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","5577","0.0-2.0","165439","","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","3","35087","0.0-3.0","165439","","29508","85.6","53.98","476","5.56","586.59","8.346277525154067","57.03141293414076","25.249242933239195","15.780776833274496","","","","","","","","",""
"","","","","","html-keyboard-response","4","36995","0.0-4.0","165439","","1906","","","","","","","","","","This is just trial run, press Space bar to continue"," ","","","","","","",""
"","","","","","psychophysics","5","39553","0.0-5.0-0.0","165439","","2550","","","","","","","","","","","0","key","0","16.666000000000007","720","250","1","YES"
"","","","","","psychophysics","6","41087","0.0-5.0-1.0","165439","","1529","","","","","","","","","","","0","key","0","16.67550549450555","720","250","0","NO"
"","","","","","psychophysics","7","42173","0.0-5.0-2.0","165439","","1083","","","","","","","","","","","1","key","1","16.666000000000054","720","250","1","No"
"","","","","","psychophysics","8","43408","0.0-5.0-3.0","165439","","1229","","","","","","","","","","","0","key","0","16.66600000000003","720","250","0","NO"
"","","","","","psychophysics","9","44521","0.0-5.0-4.0","165439","","1110","","","","","","","","","","","1","key","1","16.665999999999976","720","250","1","NO"
"","","","","","psychophysics","10","45835","0.0-5.0-5.0","165439","","1309","","","","","","","","","","","1","key","1","16.665999999999958","720","250","1","YES"
"","","","","","psychophysics","11","47072","0.0-5.0-6.0","165439","","1234","","","","","","","","","","","1","key","1","16.66600000000003","720","250","1","NO"
"","","","","","psychophysics","12","51379","0.0-5.0-7.0","165439","","4301","","","","","","","","","","","0","key","0","16.66936575875487","720","250","1","No"
"","","","","","html-keyboard-response","13","53130","0.0-6.0","165439","","1750","","","","","","","","","","You have successfully completed the pilot , Press Space bar to continue to main block of experiment"," ","","","","","","",""
"","","","","","psychophysics","14","55743","0.0-7.0-0.0","165439","","2607","","","","","","","","","","","2","key","2","16.666000000000004","720","250","1","YES"
"","","","","","html-keyboard-response","15","61051","0.0-7.0-1.0","165439","","5307","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","4","","","","","","",""
"","","","","","psychophysics","16","62604","0.0-7.0-2.0","165439","","1545","","","","","","","","","","","0","key","0","16.675720430107493","720","250","0","NO"
"","","","","","html-keyboard-response","17","65240","0.0-7.0-3.0","165439","","2635","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","","",""
