"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","view_history","rt","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","win_width_deg","win_height_deg","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","illusion"
"true","false","[]","[]","[]","preload","0","283","0.0-0.0","301171","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","4326","0.0-1.0","301171","[{""page_index"":0,""viewing_time"":2040},{""page_index"":1,""viewing_time"":1142},{""page_index"":2,""viewing_time"":860}]","4043","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","6597","0.0-2.0","301171","","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","3","120126","0.0-3.0","301171","","113524","85.6","53.98","366","4.28","610.85","8.015906341426376","45.65921611490196","28.033770811545796","15.76899608149451","","","","","","","","",""
"","","","","","html-keyboard-response","4","123308","0.0-4.0","301171","","3179","","","","","","","","","","This is just trial run, press Space bar to continue"," ","","","","","","",""
"","","","","","psychophysics","5","127453","0.0-5.0-0.0","301171","","4128","","","","","","","","","","","0","key","0","16.724467741935506","640","250","1","No"
"","","","","","psychophysics","6","128928","0.0-5.0-1.0","301171","","1472","","","","","","","","","","","1","key","1","16.66501149425287","640","250","1","NO"
"","","","","","psychophysics","7","130410","0.0-5.0-2.0","301171","","1475","","","","","","","","","","","1","key","1","16.66912500000002","640","250","1","YES"
"","","","","","psychophysics","8","131524","0.0-5.0-3.0","301171","","1110","","","","","","","","","","","1","key","1","16.67101515151532","640","250","1","YES"
"","","","","","psychophysics","9","132701","0.0-5.0-4.0","301171","","1176","","","","","","","","","","","1","key","1","16.662685714285804","640","250","1","NO"
"","","","","","psychophysics","10","133923","0.0-5.0-5.0","301171","","1218","","","","","","","","","","","0","key","0","16.6676111111111","640","250","0","NO"
"","","","","","psychophysics","11","135118","0.0-5.0-6.0","301171","","1182","","","","","","","","","","","0","key","0","16.66929577464815","640","250","0","NO"
"","","","","","psychophysics","12","136227","0.0-5.0-7.0","301171","","1105","","","","","","","","","","","1","key","1","16.666261538461548","640","250","1","No"
"","","","","","html-keyboard-response","13","137478","0.0-6.0","301171","","1249","","","","","","","","","","You have successfully completed the pilot , Press Space bar to continue to main block of experiment"," ","","","","","","",""
"","","","","","psychophysics","14","139571","0.0-7.0-0.0","301171","","2088","","","","","","","","","","","0","key","0","16.66023015873026","640","250","0","NO"
"","","","","","html-keyboard-response","15","142395","0.0-7.0-1.0","301171","","2821","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","4","","","","","","",""
"","","","","","psychophysics","16","145553","0.0-7.0-2.0","301171","","3144","","","","","","","","","","","1","key","1","16.663663157894838","640","250","1","YES"
"","","","","","html-keyboard-response","17","147801","0.0-7.0-3.0","301171","","2246","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","4","","","","","","",""
"","","","","","psychophysics","18","148848","0.0-7.0-4.0","301171","","1041","","","","","","","","","","","1","key","1","16.652483870967707","640","250","1","NO"
"","","","","","html-keyboard-response","19","150270","0.0-7.0-5.0","301171","","1420","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","4","","","","","","",""
"","","","","","psychophysics","20","151779","0.0-7.0-6.0","301171","","1500","","","","","","","","","","","1","key","1","16.653899999999947","640","250","1","No"
"","","","","","html-keyboard-response","21","152689","0.0-7.0-7.0","301171","","908","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","4","","","","","","",""
"","","","","","psychophysics","22","153854","0.0-7.0-8.0","301171","","1159","","","","","","","","","","","1","key","1","16.6614999999999","640","250","1","No"
"","","","","","html-keyboard-response","23","156082","0.0-7.0-9.0","301171","","2227","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","3","","","","","","",""
"","","","","","psychophysics","24","157271","0.0-7.0-10.0","301171","","1182","","","","","","","","","","","1","key","1","16.669323943661933","640","250","1","NO"
"","","","","","html-keyboard-response","25","158163","0.0-7.0-11.0","301171","","890","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","3","","","","","","",""
"","","","","","psychophysics","26","163685","0.0-7.0-12.0","301171","","5513","","","","","","","","","","","1","key","1","16.664786144578322","640","250","1","YES"
