"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","view_history","rt","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","win_width_deg","win_height_deg","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","illusion"
"true","false","[]","[]","[]","preload","0","280","0.0-0.0","288832","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","18798","0.0-1.0","288832","[{""page_index"":0,""viewing_time"":2045},{""page_index"":1,""viewing_time"":3008},{""page_index"":2,""viewing_time"":1320},{""page_index"":1,""viewing_time"":7384},{""page_index"":2,""viewing_time"":1299},{""page_index"":1,""viewing_time"":933},{""page_index"":2,""viewing_time"":2527}]","18517","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","20659","0.0-2.0","288832","","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","3","48586","0.0-3.0","288832","","27925","85.6","53.98","488","5.7","403.62","12.10608672655494","40.310301009950834","47.63050515365878","26.792159148933067","","","","","","","","",""
"","","","","","html-keyboard-response","4","49871","0.0-4.0","288832","","1282","","","","","","","","","","This is just trial run, press Space bar to continue"," ","","","","","","",""
"","","","","","psychophysics","5","53784","0.0-5.0-0.0","288832","","3894","","","","","","","","","","","1","key","1","16.871129870129902","960","250","1","NO"
"","","","","","psychophysics","6","57454","0.0-5.0-1.0","288832","","3657","","","","","","","","","","","1","key","1","16.65768181818183","960","250","1","No"
"","","","","","psychophysics","7","59347","0.0-5.0-2.0","288832","","1882","","","","","","","","","","","1","key","1","16.657619469026564","960","250","0","NO"
"","","","","","psychophysics","8","61029","0.0-5.0-3.0","288832","","1670","","","","","","","","","","","1","key","1","16.657070000000022","960","250","1","YES"
"","","","","","psychophysics","9","62282","0.0-5.0-4.0","288832","","1245","","","","","","","","","","","0","key","0","16.65586486486476","960","250","0","NO"
"","","","","","psychophysics","10","63700","0.0-5.0-5.0","288832","","1406","","","","","","","","","","","1","key","1","16.658511904761934","960","250","1","YES"
"","","","","","psychophysics","11","64826","0.0-5.0-6.0","288832","","1114","","","","","","","","","","","1","key","1","16.656791044776188","960","250","1","No"
"","","","","","psychophysics","12","66244","0.0-5.0-7.0","288832","","1412","","","","","","","","","","","1","key","1","16.65755952380953","960","250","1","NO"
"","","","","","html-keyboard-response","13","67717","0.0-6.0","288832","","1470","","","","","","","","","","You have successfully completed the pilot , Press Space bar to continue to main block of experiment"," ","","","","","","",""
"","","","","","psychophysics","14","68823","0.0-7.0-0.0","288832","","1093","","","","","","","","","","","1","key","1","16.647257575757536","960","250","1","No"
"","","","","","html-keyboard-response","15","70703","0.0-7.0-1.0","288832","","1876","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","","",""
"","","","","","psychophysics","16","73337","0.0-7.0-2.0","288832","","2620","","","","","","","","","","","2","key","2","16.65121518987346","960","250","1","YES"
"","","","","","html-keyboard-response","17","74789","0.0-7.0-3.0","288832","","1449","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","3","","","","","","",""
"","","","","","psychophysics","18","75940","0.0-7.0-4.0","288832","","1136","","","","","","","","","","","0","key","0","16.647768115941975","960","250","0","NO"
"","","","","","html-keyboard-response","19","76951","0.0-7.0-5.0","288832","","1009","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","4","","","","","","",""
"","","","","","psychophysics","20","79014","0.0-7.0-6.0","288832","","2051","","","","","","","","","","","0","key","0","16.65356097560969","960","250","1","NO"
"","","","","","html-keyboard-response","21","80543","0.0-7.0-7.0","288832","","1525","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","","",""
"","","","","","psychophysics","22","83176","0.0-7.0-8.0","288832","","2623","","","","","","","","","","","0","key","0","16.65202547770693","960","250","1","NO"
"","","","","","html-keyboard-response","23","83672","0.0-7.0-9.0","288832","","494","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","","",""
"","","","","","psychophysics","24","84988","0.0-7.0-10.0","288832","","1301","","","","","","","","","","","1","key","1","16.654734177215214","960","250","1","No"
