"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","view_history","rt","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","win_width_deg","win_height_deg","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","illusion"
"true","false","[]","[]","[]","preload","0","10","0.0-0.0","977261","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","3231","0.0-1.0","977261","[{""page_index"":0,""viewing_time"":1167},{""page_index"":1,""viewing_time"":952},{""page_index"":2,""viewing_time"":1101}]","3220","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","5254","0.0-2.0","977261","","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","3","69782","0.0-3.0","977261","","64525","85.6","53.98","912","10.65","441.56","11.072662869936432","82.36501108294249","15.540579466577448","9.712862166610906","","","","","","","","",""
"","","","","","html-keyboard-response","4","72134","0.0-4.0","977261","","2350","","","","","","","","","","This is just trial run, press Space bar to continue"," ","","","","","","",""
"","","","","","psychophysics","5","74781","0.0-5.0-0.0","977261","","2637","","","","","","","","","","","1","key","1","32.825","640","250","1","No"
"","","","","","psychophysics","6","76477","0.0-5.0-1.0","977261","","1686","","","","","","","","","","","1","key","1","32.03846153846154","640","250","1","No"
"","","","","","psychophysics","7","77872","0.0-5.0-2.0","977261","","1389","","","","","","","","","","","1","key","1","30.333333333333332","640","250","1","YES"
"","","","","","psychophysics","8","78909","0.0-5.0-3.0","977261","","1032","","","","","","","","","","","1","key","1","31.1875","640","250","0","NO"
"","","","","","psychophysics","9","81382","0.0-5.0-4.0","977261","","2469","","","","","","","","","","","2","key","2","33.342465753424655","640","250","1","NO"
"","","","","","psychophysics","10","82789","0.0-5.0-5.0","977261","","1402","","","","","","","","","","","2","key","2","30.355555555555554","640","250","1","YES"
"","","","","","psychophysics","11","84953","0.0-5.0-6.0","977261","","2160","","","","","","","","","","","2","key","2","33.34375","640","250","1","NO"
"","","","","","psychophysics","12","85984","0.0-5.0-7.0","977261","","1027","","","","","","","","","","","1","key","1","31.25","640","250","0","NO"
"","","","","","html-keyboard-response","13","87776","0.0-6.0","977261","","1791","","","","","","","","","","You have successfully completed the pilot , Press Space bar to continue to main block of experiment"," ","","","","","","",""
"","","","","","psychophysics","14","88872","0.0-7.0-0.0","977261","","1084","","","","","","","","","","","1","key","1","31.323529411764707","640","250","0","NO"
"","","","","","html-keyboard-response","15","90996","0.0-7.0-1.0","977261","","2122","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","","",""
"","","","","","psychophysics","16","92731","0.0-7.0-2.0","977261","","1729","","","","","","","","","","","2","key","2","33.35294117647059","640","250","1","NO"
"","","","","","html-keyboard-response","17","93795","0.0-7.0-3.0","977261","","1063","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","","",""
"","","","","","psychophysics","18","95565","0.0-7.0-4.0","977261","","1764","","","","","","","","","","","2","key","2","33.36538461538461","640","250","1","NO"
"","","","","","html-keyboard-response","19","96878","0.0-7.0-5.0","977261","","1312","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","","",""
"","","","","","psychophysics","20","98123","0.0-7.0-6.0","977261","","1238","","","","","","","","","","","2","key","2","33.388888888888886","640","250","1","NO"
"","","","","","html-keyboard-response","21","98959","0.0-7.0-7.0","977261","","835","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","","",""
"","","","","","psychophysics","22","100835","0.0-7.0-8.0","977261","","1870","","","","","","","","","","","2","key","2","32.228070175438596","640","250","1","No"
