"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","view_history","rt","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","win_width_deg","win_height_deg","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","illusion"
"true","false","[]","[]","[]","preload","0","48","0.0-0.0","614730","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","4075","0.0-1.0","614730","[{""page_index"":0,""viewing_time"":1515},{""page_index"":1,""viewing_time"":1343},{""page_index"":2,""viewing_time"":1167}]","4026","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","6420","0.0-2.0","614730","","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","3","28764","0.0-3.0","614730","","22342","85.6","53.98","336","3.93","714","6.860864036301656","48.973423496251144","31.363949880236145","17.64222180763283","","","","","","","","",""
"","","","","","html-keyboard-response","4","29436","0.0-4.0","614730","","670","","","","","","","","","","This is just trial run, press Space bar to continue"," ","","","","","","",""
"","","","","","psychophysics","5","31238","0.0-5.0-0.0","614730","","1793","","","","","","","","","","","2","key","2","16.666064814814828","768","250","1","YES"
"","","","","","psychophysics","6","32323","0.0-5.0-1.0","614730","","1082","","","","","","","","","","","1","key","1","16.662843750000036","768","250","1","NO"
"","","","","","psychophysics","7","33935","0.0-5.0-2.0","614730","","1607","","","","","","","","","","","0","key","0","16.66309374999999","768","250","0","NO"
"","","","","","psychophysics","8","35076","0.0-5.0-3.0","614730","","1139","","","","","","","","","","","1","key","1","16.66414705882348","768","250","1","NO"
"","","","","","psychophysics","9","36263","0.0-5.0-4.0","614730","","1186","","","","","","","","","","","1","key","1","16.66242857142861","768","250","1","No"
"","","","","","psychophysics","10","37328","0.0-5.0-5.0","614730","","1052","","","","","","","","","","","1","key","1","16.66288888888893","768","250","1","No"
"","","","","","psychophysics","11","38550","0.0-5.0-6.0","614730","","1218","","","","","","","","","","","0","key","0","16.663999999999962","768","250","0","NO"
"","","","","","psychophysics","12","39849","0.0-5.0-7.0","614730","","1295","","","","","","","","","","","2","key","2","16.664376623376615","768","250","1","YES"
"","","","","","html-keyboard-response","13","41143","0.0-6.0","614730","","1293","","","","","","","","","","You have successfully completed the pilot , Press Space bar to continue to main block of experiment"," ","","","","","","",""
"","","","","","psychophysics","14","42251","0.0-7.0-0.0","614730","","1104","","","","","","","","","","","0","key","0","16.67821212121205","768","250","0","NO"
"","","","","","html-keyboard-response","15","44558","0.0-7.0-1.0","614730","","2305","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","4","","","","","","",""
"","","","","","psychophysics","16","45704","0.0-7.0-2.0","614730","","1142","","","","","","","","","","","1","key","1","16.66248529411774","768","250","1","NO"
"","","","","","html-keyboard-response","17","49253","0.0-7.0-3.0","614730","","3548","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","3","","","","","","",""
"","","","","","psychophysics","18","50437","0.0-7.0-4.0","614730","","1179","","","","","","","","","","","0","key","0","16.6907746478873","768","250","0","NO"
"","","","","","html-keyboard-response","19","51768","0.0-7.0-5.0","614730","","1330","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","3","","","","","","",""
"","","","","","psychophysics","20","54269","0.0-7.0-6.0","614730","","2496","","","","","","","","","","","2","key","2","16.664886666666668","768","250","1","YES"
"","","","","","html-keyboard-response","21","55839","0.0-7.0-7.0","614730","","1570","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","","",""
"","","","","","psychophysics","22","57205","0.0-7.0-8.0","614730","","1356","","","","","","","","","","","1","key","1","16.664634146341463","768","250","1","NO"
"","","","","","html-keyboard-response","23","58218","0.0-7.0-9.0","614730","","1012","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","4","","","","","","",""
"","","","","","psychophysics","24","59479","0.0-7.0-10.0","614730","","1257","","","","","","","","","","","1","key","1","16.670293333333294","768","250","1","NO"
"","","","","","html-keyboard-response","25","60287","0.0-7.0-11.0","614730","","807","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","4","","","","","","",""
"","","","","","psychophysics","26","61626","0.0-7.0-12.0","614730","","1335","","","","","","","","","","","1","key","1","16.664000000000033","768","250","1","No"
"","","","","","html-keyboard-response","27","62354","0.0-7.0-13.0","614730","","727","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","","",""
"","","","","","psychophysics","28","64285","0.0-7.0-14.0","614730","","1930","","","","","","","","","","","0","key","0","16.666974137931025","768","250","0","NO"
"","","","","","html-keyboard-response","29","64794","0.0-7.0-15.0","614730","","508","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","","",""
"","","","","","psychophysics","30","66155","0.0-7.0-16.0","614730","","1358","","","","","","","","","","","1","key","1","16.66574390243903","768","250","1","NO"
"","","","","","html-keyboard-response","31","67694","0.0-7.0-17.0","614730","","1538","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","","",""
"","","","","","psychophysics","32","69007","0.0-7.0-18.0","614730","","1307","","","","","","","","","","","1","key","1","16.673227848101238","768","250","1","No"
