"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","view_history","rt","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","win_width_deg","win_height_deg","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","illusion"
"true","false","[]","[]","[]","preload","0","11","0.0-0.0","481415","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","4137","0.0-1.0","481415","[{""page_index"":0,""viewing_time"":2076},{""page_index"":1,""viewing_time"":1018},{""page_index"":2,""viewing_time"":1028}]","4125","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","6245","0.0-2.0","481415","","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","3","25470","0.0-3.0","481415","","19221","85.6","53.98","352","4.11","659.76","7.423390339629275","47.417687053430484","32.3929760274732","18.221049015453676","","","","","","","","",""
"","","","","","html-keyboard-response","4","25926","0.0-4.0","481415","","454","","","","","","","","","","This is just trial run, press Space bar to continue"," ","","","","","","",""
"","","","","","psychophysics","5","27337","0.0-5.0-0.0","481415","","1406","","","","","","","","","","","0","key","0","16.720294117647086","768","250","0","NO"
"","","","","","psychophysics","6","28899","0.0-5.0-1.0","481415","","1558","","","","","","","","","","","1","key","1","16.65808602150539","768","250","1","No"
"","","","","","psychophysics","7","29978","0.0-5.0-2.0","481415","","1077","","","","","","","","","","","1","key","1","16.663222222222213","768","250","1","NO"
"","","","","","psychophysics","8","31076","0.0-5.0-3.0","481415","","1095","","","","","","","","","","","1","key","1","16.66183076923077","768","250","1","No"
"","","","","","psychophysics","9","32725","0.0-5.0-4.0","481415","","1646","","","","","","","","","","","0","key","0","16.662234693877526","768","250","0","NO"
"","","","","","psychophysics","10","34159","0.0-5.0-5.0","481415","","1417","","","","","","","","","","","2","key","2","16.66181176470589","768","250","1","YES"
"","","","","","psychophysics","11","35334","0.0-5.0-6.0","481415","","1171","","","","","","","","","","","2","key","2","16.66181428571425","768","250","1","YES"
"","","","","","psychophysics","12","37435","0.0-5.0-7.0","481415","","2097","","","","","","","","","","","0","key","0","16.66332800000004","768","250","1","NO"
"","","","","","html-keyboard-response","13","38456","0.0-6.0","481415","","1021","","","","","","","","","","You have successfully completed the pilot , Press Space bar to continue to main block of experiment"," ","","","","","","",""
"","","","","","psychophysics","14","39510","0.0-7.0-0.0","481415","","1049","","","","","","","","","","","1","key","1","16.614793650793594","768","250","1","No"
"","","","","","html-keyboard-response","15","40907","0.0-7.0-1.0","481415","","1396","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","4","","","","","","",""
"","","","","","psychophysics","16","42828","0.0-7.0-2.0","481415","","1919","","","","","","","","","","","0","key","0","16.604672413793104","768","250","0","NO"
"","","","","","html-keyboard-response","17","43186","0.0-7.0-3.0","481415","","358","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","4","","","","","","",""
"","","","","","psychophysics","18","44646","0.0-7.0-4.0","481415","","1455","","","","","","","","","","","0","key","0","16.564670454545443","768","250","0","NO"
"","","","","","html-keyboard-response","19","45077","0.0-7.0-5.0","481415","","430","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","","",""
"","","","","","psychophysics","20","46212","0.0-7.0-6.0","481415","","1131","","","","","","","","","","","0","key","0","16.752044117647102","768","250","0","NO"
"","","","","","html-keyboard-response","21","46664","0.0-7.0-7.0","481415","","452","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","5","","","","","","",""
"","","","","","psychophysics","22","47905","0.0-7.0-8.0","481415","","1239","","","","","","","","","","","1","key","1","16.733391891891902","768","250","1","No"
"","","","","","html-keyboard-response","23","49311","0.0-7.0-9.0","481415","","1405","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","4","","","","","","",""
"","","","","","psychophysics","24","50733","0.0-7.0-10.0","481415","","1416","","","","","","","","","","","0","key","0","16.775799999999993","768","250","0","NO"
"","","","","","html-keyboard-response","25","51210","0.0-7.0-11.0","481415","","476","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","4","","","","","","",""
"","","","","","psychophysics","26","52671","0.0-7.0-12.0","481415","","1458","","","","","","","","","","","1","key","1","16.71412643678162","768","250","1","NO"
"","","","","","html-keyboard-response","27","54756","0.0-7.0-13.0","481415","","2084","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","4","","","","","","",""
"","","","","","psychophysics","28","56202","0.0-7.0-14.0","481415","","1441","","","","","","","","","","","1","key","1","16.74373255813957","768","250","1","NO"
